dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
obesity;svm;random-forest;50;0.598;0.104;0.656;0.043
obesity;svm;random-forest;60;0.607;0.126;0.648;0.049
obesity;svm;random-forest;70;0.599;0.143;0.644;0.057
obesity;svm;random-forest;80;0.589;0.149;0.648;0.055
obesity;svm;random-forest;90;0.592;0.148;0.648;0.055
obesity;svm;random-forest;100;0.585;0.135;0.652;0.046
obesity;svm;random-forest;110;0.563;0.13;0.652;0.039
obesity;svm;random-forest;120;0.561;0.127;0.652;0.039
obesity;svm;random-forest;130;0.56;0.127;0.652;0.039
obesity;svm;random-forest;140;0.543;0.114;0.648;0.038
obesity;svm;random-forest;150;0.535;0.131;0.648;0.038
obesity;svm;random-forest;160;0.53;0.129;0.644;0.041
obesity;svm;random-forest;170;0.525;0.127;0.644;0.041
obesity;svm;random-forest;180;0.525;0.126;0.648;0.038
obesity;svm;random-forest;190;0.523;0.131;0.644;0.041
obesity;svm;random-forest;200;0.524;0.13;0.644;0.041
obesity;svm;mrmr;10;0.679;0.104;0.665;0.052
obesity;svm;mrmr;20;0.711;0.096;0.661;0.046
obesity;svm;mrmr;30;0.693;0.064;0.665;0.055
obesity;svm;mrmr;40;0.686;0.065;0.692;0.048
obesity;svm;mrmr;50;0.7;0.085;0.684;0.048
obesity;svm;mrmr;60;0.679;0.124;0.655;0.088
obesity;svm;mrmr;70;0.68;0.123;0.643;0.081
obesity;svm;mrmr;80;0.662;0.107;0.644;0.051
obesity;svm;mrmr;90;0.64;0.108;0.656;0.042
obesity;svm;mrmr;100;0.637;0.102;0.656;0.042
obesity;svm;mrmr;110;0.64;0.102;0.656;0.042
obesity;svm;mrmr;120;0.645;0.106;0.656;0.042
obesity;svm;mrmr;130;0.644;0.105;0.656;0.042
obesity;svm;mrmr;140;0.641;0.11;0.66;0.046
obesity;svm;mrmr;150;0.63;0.106;0.652;0.04
obesity;svm;mrmr;160;0.63;0.106;0.652;0.04
obesity;svm;mrmr;170;0.629;0.108;0.656;0.038
obesity;svm;mrmr;180;0.631;0.107;0.656;0.038
obesity;svm;mrmr;190;0.631;0.106;0.656;0.038
obesity;svm;mrmr;200;0.631;0.106;0.656;0.038
obesity;svm;mutual-info;10;0.544;0.147;0.652;0.025
obesity;svm;mutual-info;20;0.605;0.158;0.648;0.012
obesity;svm;mutual-info;30;0.612;0.139;0.648;0.012
obesity;svm;mutual-info;40;0.631;0.14;0.648;0.012
obesity;svm;mutual-info;50;0.572;0.138;0.644;0.019
obesity;svm;mutual-info;60;0.6;0.123;0.648;0.012
obesity;svm;mutual-info;70;0.536;0.105;0.648;0.012
obesity;svm;mutual-info;80;0.568;0.157;0.652;0.015
obesity;svm;mutual-info;90;0.563;0.113;0.648;0.012
obesity;svm;mutual-info;100;0.543;0.117;0.648;0.012
obesity;svm;mutual-info;110;0.526;0.063;0.648;0.012
obesity;svm;mutual-info;120;0.527;0.15;0.66;0.047
obesity;svm;mutual-info;130;0.578;0.153;0.64;0.037
obesity;svm;mutual-info;140;0.537;0.09;0.648;0.012
obesity;svm;mutual-info;150;0.544;0.108;0.644;0.019
obesity;svm;mutual-info;160;0.547;0.107;0.648;0.012
obesity;svm;mutual-info;170;0.557;0.125;0.64;0.023
obesity;svm;mutual-info;180;0.524;0.072;0.648;0.012
obesity;svm;mutual-info;190;0.532;0.116;0.648;0.012
obesity;svm;mutual-info;200;0.525;0.094;0.648;0.012
obesity;svm;chi2;10;0.601;0.115;0.64;0.04
obesity;svm;chi2;20;0.617;0.119;0.656;0.038
obesity;svm;chi2;30;0.624;0.108;0.652;0.041
obesity;svm;chi2;40;0.616;0.121;0.656;0.038
obesity;svm;chi2;50;0.619;0.131;0.648;0.035
obesity;svm;chi2;60;0.601;0.134;0.652;0.031
obesity;svm;chi2;70;0.596;0.135;0.652;0.031
obesity;svm;chi2;80;0.586;0.143;0.652;0.025
obesity;svm;chi2;90;0.571;0.124;0.648;0.03
obesity;svm;chi2;100;0.565;0.122;0.648;0.038
obesity;svm;chi2;110;0.562;0.124;0.648;0.038
obesity;svm;chi2;120;0.563;0.122;0.648;0.038
obesity;svm;chi2;130;0.564;0.124;0.648;0.038
obesity;svm;chi2;140;0.563;0.127;0.648;0.038
obesity;svm;chi2;150;0.563;0.127;0.648;0.038
obesity;svm;chi2;160;0.558;0.132;0.644;0.031
obesity;svm;chi2;170;0.554;0.134;0.648;0.038
obesity;svm;chi2;180;0.541;0.144;0.648;0.038
obesity;svm;chi2;190;0.54;0.145;0.648;0.038
obesity;svm;chi2;200;0.54;0.143;0.648;0.038
obesity;svm;multisurf;10;0.608;0.104;0.648;0.058
obesity;svm;multisurf;20;0.584;0.128;0.596;0.038
obesity;svm;multisurf;30;0.625;0.11;0.656;0.039
obesity;svm;multisurf;40;0.617;0.107;0.652;0.042
obesity;svm;multisurf;50;0.604;0.108;0.656;0.047
obesity;svm;multisurf;60;0.599;0.123;0.656;0.047
obesity;svm;multisurf;70;0.609;0.115;0.652;0.05
obesity;svm;multisurf;80;0.622;0.125;0.644;0.056
obesity;svm;multisurf;90;0.622;0.127;0.644;0.056
obesity;svm;multisurf;100;0.6;0.127;0.64;0.054
obesity;svm;multisurf;110;0.593;0.126;0.64;0.054
obesity;svm;multisurf;120;0.601;0.129;0.64;0.054
obesity;svm;multisurf;130;0.604;0.116;0.64;0.047
obesity;svm;multisurf;140;0.583;0.121;0.644;0.045
obesity;svm;multisurf;150;0.592;0.121;0.636;0.055
obesity;svm;multisurf;160;0.595;0.123;0.64;0.054
obesity;svm;multisurf;170;0.596;0.121;0.64;0.054
obesity;svm;multisurf;180;0.596;0.121;0.64;0.054
obesity;svm;multisurf;190;0.596;0.121;0.64;0.054
obesity;svm;multisurf;200;0.596;0.121;0.64;0.054
obesity;svm;boruta;6;0.65;0.083;0.644;0.03
cirrhosis;svm;random-forest;10;0.912;0.05;0.612;0.07
cirrhosis;svm;random-forest;20;0.929;0.059;0.63;0.063
cirrhosis;svm;random-forest;30;0.922;0.048;0.643;0.076
cirrhosis;svm;random-forest;40;0.836;0.099;0.651;0.113
cirrhosis;svm;random-forest;50;0.836;0.087;0.659;0.116
cirrhosis;svm;random-forest;60;0.806;0.098;0.694;0.122
cirrhosis;svm;random-forest;70;0.797;0.105;0.694;0.099
